"","country","points"
"1","US",96
"2","Spain",96
"3","US",96
"4","US",96
"5","France",95
"6","Spain",95
"7","Spain",95
"8","Spain",95
"9","US",95
"10","US",95
"11","Italy",95
"12","US",95
"13","US",95
"14","France",95
"15","US",95
"16","US",95
"17","US",95
"18","Spain",95
"19","France",95
"20","US",95
"21","US",95
"22","Spain",95
"23","Spain",95
"24","US",95
"25","US",95
"26","New Zealand",94
"27","US",94
"28","US",94
"29","US",94
"30","US",94
"31","Bulgaria",90
"32","US",90
"33","Italy",90
"34","France",90
"35","US",90
"36","Italy",90
"37","France",90
"38","Italy",90
"39","Italy",90
"40","Italy",90
"41","Spain",90
"42","Spain",90
"43","US",90
"44","Italy",90
"45","France",90
"46","Italy",90
"47","Italy",90
"48","US",90
"49","Italy",90
"50","US",90
"51","Italy",90
"52","France",90
"53","France",90
"54","France",90
"55","US",90
"56","US",90
"57","France",90
"58","US",90
"59","US",90
"60","Italy",90
"61","Argentina",91
"62","Australia",91
"63","Argentina",91
"64","France",91
"65","Portugal",91
"66","US",91
"67","France",91
"68","US",91
"69","US",91
"70","US",91
"71","US",91
"72","US",91
"73","Italy",91
"74","US",91
"75","Portugal",91
"76","US",91
"77","France",91
"78","US",91
"79","US",91
"80","Italy",91
"81","US",91
"82","Israel",91
"83","Italy",91
"84","Italy",91
"85","Italy",91
"86","Italy",91
"87","France",91
"88","US",91
"89","US",91
"90","US",91
"91","US",86
"92","Portugal",86
"93","Italy",86
"94","US",86
"95","Portugal",86
"96","France",86
"97","US",86
"98","US",86
"99","France",86
"100","France",86
"101","US",86
"102","US",86
"103","Italy",86
"104","US",86
"105","US",86
"106","US",86
"107","US",86
"108","US",86
"109","US",86
"110","US",86
"111","Portugal",86
"112","Argentina",86
"113","US",86
"114","US",86
"115","South Africa",86
"116","Argentina",86
"117","Spain",86
"118","France",86
"119","France",86
"120","Portugal",86
"121","US",91
"122","US",91
"123","US",91
"124","US",91
"125","US",91
"126","US",91
