"","country","points","price"
"1","US",96,235
"2","Spain",96,110
"3","US",96,90
"4","US",96,65
"5","France",95,66
"6","Spain",95,73
"7","Spain",95,65
"8","Spain",95,110
"9","US",95,65
"10","US",95,60
"11","Italy",95,80
"12","US",95,48
"13","US",95,48
"14","France",95,90
"15","US",95,185
"16","US",95,90
"17","US",95,325
"18","Spain",95,80
"19","France",95,290
"20","US",95,75
"21","US",95,24
"22","Spain",95,79
"23","Spain",95,220
"24","US",95,60
"25","US",95,45
"26","New Zealand",94,57
"27","US",94,62
"28","US",94,105
"29","US",94,60
"30","US",94,60
"31","Bulgaria",90,15
"32","US",90,37
"33","Italy",90,NA
"34","France",90,22
"35","US",90,42
"36","Italy",90,135
"37","France",90,60
"38","Italy",90,29
"39","Italy",90,23
"40","Italy",90,29
"41","Spain",90,17
"42","Spain",90,26
"43","US",90,55
"44","Italy",90,39
"45","France",90,69
"46","Italy",90,30
"47","Italy",90,90
"48","US",90,60
"49","Italy",90,50
"50","US",90,40
"51","Italy",90,100
"52","France",90,68
"53","France",90,42
"54","France",90,28
"55","US",90,18
"56","US",90,69
"57","France",90,NA
"58","US",90,25
"59","US",90,30
"60","Italy",90,60
"61","Argentina",91,30
"62","Australia",91,36
"63","Argentina",91,25
"64","France",91,45
"65","Portugal",91,23
"66","US",91,36
"67","France",91,38
"68","US",91,85
"69","US",91,50
"70","US",91,60
"71","US",91,85
"72","US",91,45
"73","Italy",91,NA
"74","US",91,19
"75","Portugal",91,15
"76","US",91,54
"77","France",91,85
"78","US",91,38
"79","US",91,28
"80","Italy",91,75
"81","US",91,42
"82","Israel",91,25
"83","Italy",91,NA
"84","Italy",91,59
"85","Italy",91,85
"86","Italy",91,80
"87","France",91,45
"88","US",91,22
"89","US",91,65
"90","US",91,50
"91","US",86,10
"92","Portugal",86,12
"93","Italy",86,22
"94","US",86,13
"95","Portugal",86,10
"96","France",86,14
"97","US",86,18
"98","US",86,36
"99","France",86,15
"100","France",86,10
"101","US",86,24
"102","US",86,50
"103","Italy",86,45
"104","US",86,48
"105","US",86,20
"106","US",86,17
"107","US",86,12
"108","US",86,10
"109","US",86,13
"110","US",86,45
"111","Portugal",86,12
"112","Argentina",86,12
"113","US",86,125
"114","US",86,25
"115","South Africa",86,20
"116","Argentina",86,15
"117","Spain",86,NA
"118","France",86,20
"119","France",86,15
"120","Portugal",86,7
"121","US",91,59
"122","US",91,49
"123","US",91,42
"124","US",91,93
"125","US",91,32
"126","US",91,20
"127","US",90,100
"128","US",90,50
"129","Spain",90,22
"130","Italy",90,45
"131","Italy",90,18
"132","US",90,45
"133","US",90,26
"134","US",90,16
"135","US",90,30
"136","US",90,42
"137","US",90,38
"138","US",90,48
"139","Spain",90,17
"140","France",90,18
"141","France",90,15
"142","US",90,28
"143","US",90,25
"144","US",90,26
"145","US",90,24
"146","US",90,55
"147","US",90,36
"148","Spain",90,17
"149","US",90,40
"150","US",90,28
"151","US",89,50
"152","Greece",89,24
"153","Spain",89,17
"154","Greece",89,21
"155","Greece",89,18
"156","Chile",89,20
"157","France",89,20
"158","US",89,24
"159","Spain",89,44
"160","Chile",89,19
"161","US",89,42
"162","US",89,35
"163","Spain",89,44
"164","US",89,16
"165","US",89,23
"166","US",89,36
"167","Italy",89,25
"168","Italy",89,22
"169","Portugal",89,20
"170","US",89,25
"171","US",89,42
"172","Chile",89,30
